Date,Rate,ISO Code From,ISO Code To
"8/10/2020 Monday",0.00023,COP,EUR
"8/11/2020 Tuesday",0.00022,COP,EUR
"8/12/2020 Wednesday",0.00023,COP,EUR
"8/13/2020 Thursday",0.00022,COP,EUR
"8/14/2020 Friday",0.00022,COP,EUR
"8/17/2020 Monday",0.00022,COP,EUR
"8/18/2020 Tuesday",0.00022,COP,EUR
"8/19/2020 Wednesday",0.00022,COP,EUR
"8/20/2020 Thursday",0.00022,COP,EUR
"8/21/2020 Friday",0.00022,COP,EUR
"8/24/2020 Monday",0.00022,COP,EUR
"8/25/2020 Tuesday",0.00022,COP,EUR
"8/26/2020 Wednesday",0.00022,COP,EUR
"8/27/2020 Thursday",0.00022,COP,EUR
"8/28/2020 Friday",0.00022,COP,EUR
"8/31/2020 Monday",0.00022,COP,EUR
"9/1/2020 Tuesday",0.00022,COP,EUR
"9/2/2020 Wednesday",0.00023,COP,EUR
"9/3/2020 Thursday",0.00023,COP,EUR
"9/4/2020 Friday",0.00023,COP,EUR
"9/7/2020 Monday",0.00023,COP,EUR
"9/8/2020 Tuesday",0.00023,COP,EUR
"9/9/2020 Wednesday",0.00023,COP,EUR
"9/10/2020 Thursday",0.00023,COP,EUR
"9/11/2020 Friday",0.00023,COP,EUR
"9/14/2020 Monday",0.00023,COP,EUR
"9/15/2020 Tuesday",0.00023,COP,EUR
"9/16/2020 Wednesday",0.00023,COP,EUR
"9/17/2020 Thursday",0.00023,COP,EUR
"9/18/2020 Friday",0.00023,COP,EUR
"9/21/2020 Monday",0.00023,COP,EUR
"9/22/2020 Tuesday",0.00022,COP,EUR
"9/23/2020 Wednesday",0.00022,COP,EUR
"9/24/2020 Thursday",0.00022,COP,EUR
"9/25/2020 Friday",0.00022,COP,EUR
"9/28/2020 Monday",0.00022,COP,EUR
"9/29/2020 Tuesday",0.00022,COP,EUR
"9/30/2020 Wednesday",0.00022,COP,EUR
"10/1/2020 Thursday",0.00022,COP,EUR
"10/2/2020 Friday",0.00022,COP,EUR
"10/5/2020 Monday",0.00022,COP,EUR
"10/6/2020 Tuesday",0.00022,COP,EUR
"10/7/2020 Wednesday",0.00022,COP,EUR
"10/8/2020 Thursday",0.00022,COP,EUR
"10/9/2020 Friday",0.00022,COP,EUR
"10/12/2020 Monday",0.00022,COP,EUR
"10/13/2020 Tuesday",0.00022,COP,EUR
"10/14/2020 Wednesday",0.00022,COP,EUR
"10/15/2020 Thursday",0.00022,COP,EUR
"10/16/2020 Friday",0.00022,COP,EUR
"10/19/2020 Monday",0.00022,COP,EUR
"10/20/2020 Tuesday",0.00022,COP,EUR
"10/21/2020 Wednesday",0.00022,COP,EUR
"10/22/2020 Thursday",0.00022,COP,EUR
"10/23/2020 Friday",0.00022,COP,EUR
"10/26/2020 Monday",0.00022,COP,EUR
"10/27/2020 Tuesday",0.00022,COP,EUR
"10/28/2020 Wednesday",0.00022,COP,EUR
"10/29/2020 Thursday",0.00022,COP,EUR
"10/30/2020 Friday",0.00022,COP,EUR
"11/2/2020 Monday",0.00022,COP,EUR
"11/3/2020 Tuesday",0.00022,COP,EUR
"11/4/2020 Wednesday",0.00022,COP,EUR
"11/5/2020 Thursday",0.00022,COP,EUR
"11/6/2020 Friday",0.00022,COP,EUR
"11/9/2020 Monday",0.00023,COP,EUR
"11/10/2020 Tuesday",0.00023,COP,EUR
"11/11/2020 Wednesday",0.00023,COP,EUR
"11/12/2020 Thursday",0.00023,COP,EUR
"11/13/2020 Friday",0.00023,COP,EUR
"11/16/2020 Monday",0.00023,COP,EUR
"11/17/2020 Tuesday",0.00023,COP,EUR
"11/18/2020 Wednesday",0.00023,COP,EUR
"11/19/2020 Thursday",0.00023,COP,EUR
"11/20/2020 Friday",0.00023,COP,EUR
"11/23/2020 Monday",0.00023,COP,EUR
"11/24/2020 Tuesday",0.00023,COP,EUR
"11/25/2020 Wednesday",0.00023,COP,EUR
"11/26/2020 Thursday",0.00023,COP,EUR
"11/27/2020 Friday",0.00023,COP,EUR
"11/30/2020 Monday",0.00023,COP,EUR
"12/1/2020 Tuesday",0.00023,COP,EUR
"12/2/2020 Wednesday",0.00023,COP,EUR
"12/3/2020 Thursday",0.00023,COP,EUR
"12/4/2020 Friday",0.00024,COP,EUR
"12/7/2020 Monday",0.00024,COP,EUR
"12/8/2020 Tuesday",0.00024,COP,EUR
"12/9/2020 Wednesday",0.00024,COP,EUR
"12/10/2020 Thursday",0.00024,COP,EUR
"12/11/2020 Friday",0.00024,COP,EUR
"12/14/2020 Monday",0.00024,COP,EUR
"12/15/2020 Tuesday",0.00024,COP,EUR
"12/16/2020 Wednesday",0.00024,COP,EUR
"12/17/2020 Thursday",0.00024,COP,EUR
"12/18/2020 Friday",0.00024,COP,EUR
"12/21/2020 Monday",0.00024,COP,EUR
"12/22/2020 Tuesday",0.00024,COP,EUR
"12/23/2020 Wednesday",0.00024,COP,EUR
"12/24/2020 Thursday",0.00023,COP,EUR
"12/25/2020 Friday",0.00023,COP,EUR
"12/28/2020 Monday",0.00023,COP,EUR
"12/29/2020 Tuesday",0.00023,COP,EUR
"12/30/2020 Wednesday",0.00023,COP,EUR
"12/31/2020 Thursday",0.00024,COP,EUR
"1/1/2021 Friday",0.00024,COP,EUR
"1/4/2021 Monday",0.00024,COP,EUR
"1/5/2021 Tuesday",0.00024,COP,EUR
"1/6/2021 Wednesday",0.00024,COP,EUR
"1/7/2021 Thursday",0.00024,COP,EUR
"1/8/2021 Friday",0.00023,COP,EUR
"1/11/2021 Monday",0.00024,COP,EUR
"1/12/2021 Tuesday",0.00024,COP,EUR
"1/13/2021 Wednesday",0.00024,COP,EUR
"1/14/2021 Thursday",0.00024,COP,EUR
"1/15/2021 Friday",0.00024,COP,EUR
"1/18/2021 Monday",0.00024,COP,EUR
"1/19/2021 Tuesday",0.00024,COP,EUR
"1/20/2021 Wednesday",0.00024,COP,EUR
"1/21/2021 Thursday",0.00024,COP,EUR
"1/22/2021 Friday",0.00024,COP,EUR
"1/25/2021 Monday",0.00023,COP,EUR
"1/26/2021 Tuesday",0.00023,COP,EUR
"1/27/2021 Wednesday",0.00023,COP,EUR
"1/28/2021 Thursday",0.00023,COP,EUR
"1/29/2021 Friday",0.00023,COP,EUR
"2/1/2021 Monday",0.00023,COP,EUR
"2/2/2021 Tuesday",0.00023,COP,EUR
"2/3/2021 Wednesday",0.00024,COP,EUR
"2/4/2021 Thursday",0.00024,COP,EUR
"2/5/2021 Friday",0.00023,COP,EUR
