Date,Rate,ISO Code From,ISO Code To
"8/9/2020 Sunday","3,754.32673",USD,COP
"8/10/2020 Monday","3,744.65548",USD,COP
"8/11/2020 Tuesday","3,790.48949",USD,COP
"8/12/2020 Wednesday","3,737.30431",USD,COP
"8/13/2020 Thursday","3,767.22416",USD,COP
"8/14/2020 Friday","3,761.83358",USD,COP
"8/16/2020 Sunday","3,761.19831",USD,COP
"8/17/2020 Monday","3,782.82990",USD,COP
"8/18/2020 Tuesday","3,782.72383",USD,COP
"8/19/2020 Wednesday","3,815.74947",USD,COP
"8/20/2020 Thursday","3,750.52694",USD,COP
"8/21/2020 Friday","3,806.20549",USD,COP
"8/23/2020 Sunday","3,805.78607",USD,COP
"8/24/2020 Monday","3,850.81894",USD,COP
"8/25/2020 Tuesday","3,853.76529",USD,COP
"8/26/2020 Wednesday","3,862.08995",USD,COP
"8/27/2020 Thursday","3,834.30341",USD,COP
"8/28/2020 Friday","3,813.15571",USD,COP
"8/30/2020 Sunday","3,812.09902",USD,COP
"8/31/2020 Monday","3,739.40430",USD,COP
"9/1/2020 Tuesday","3,762.87146",USD,COP
"9/2/2020 Wednesday","3,680.97849",USD,COP
"9/3/2020 Thursday","3,645.78323",USD,COP
"9/4/2020 Friday","3,693.50575",USD,COP
"9/6/2020 Sunday","3,693.31858",USD,COP
"9/7/2020 Monday","3,716.03152",USD,COP
"9/8/2020 Tuesday","3,723.81632",USD,COP
"9/9/2020 Wednesday","3,723.66292",USD,COP
"9/10/2020 Thursday","3,719.08097",USD,COP
"9/11/2020 Friday","3,714.12412",USD,COP
"9/13/2020 Sunday","3,716.85378",USD,COP
"9/14/2020 Monday","3,707.61141",USD,COP
"9/15/2020 Tuesday","3,707.57026",USD,COP
"9/16/2020 Wednesday","3,713.35477",USD,COP
"9/17/2020 Thursday","3,673.20405",USD,COP
"9/18/2020 Friday","3,714.64037",USD,COP
"9/20/2020 Sunday","3,714.29536",USD,COP
"9/21/2020 Monday","3,741.33361",USD,COP
"9/22/2020 Tuesday","3,807.55104",USD,COP
"9/23/2020 Wednesday","3,842.72399",USD,COP
"9/24/2020 Thursday","3,852.81719",USD,COP
"9/25/2020 Friday","3,831.35866",USD,COP
"9/27/2020 Sunday","3,832.47901",USD,COP
"9/28/2020 Monday","3,885.58348",USD,COP
"9/29/2020 Tuesday","3,858.89006",USD,COP
"9/30/2020 Wednesday","3,882.59579",USD,COP
"10/1/2020 Thursday","3,826.08844",USD,COP
"10/2/2020 Friday","3,844.25649",USD,COP
"10/5/2020 Monday","3,862.61395",USD,COP
"10/6/2020 Tuesday","3,843.95773",USD,COP
"10/7/2020 Wednesday","3,829.63718",USD,COP
"10/8/2020 Thursday","3,843.38763",USD,COP
"10/9/2020 Friday","3,830.81423",USD,COP
"10/12/2020 Monday","3,822.20003",USD,COP
"10/13/2020 Tuesday","3,843.06246",USD,COP
"10/14/2020 Wednesday","3,857.22554",USD,COP
"10/15/2020 Thursday","3,841.85085",USD,COP
"10/16/2020 Friday","3,850.65761",USD,COP
"10/19/2020 Monday","3,847.72264",USD,COP
"10/20/2020 Tuesday","3,841.53458",USD,COP
"10/21/2020 Wednesday","3,824.25346",USD,COP
"10/22/2020 Thursday","3,769.62642",USD,COP
"10/23/2020 Friday","3,779.61786",USD,COP
"10/26/2020 Monday","3,793.59111",USD,COP
"10/27/2020 Tuesday","3,826.77820",USD,COP
"10/28/2020 Wednesday","3,806.68176",USD,COP
"10/29/2020 Thursday","3,840.63745",USD,COP
"10/30/2020 Friday","3,869.79891",USD,COP
"11/2/2020 Monday","3,868.68149",USD,COP
"11/3/2020 Tuesday","3,862.21010",USD,COP
"11/4/2020 Wednesday","3,813.93960",USD,COP
"11/5/2020 Thursday","3,811.81545",USD,COP
"11/6/2020 Friday","3,754.79992",USD,COP
"11/9/2020 Monday","3,744.71146",USD,COP
"11/10/2020 Tuesday","3,643.65550",USD,COP
"11/11/2020 Wednesday","3,628.51394",USD,COP
"11/12/2020 Thursday","3,640.16736",USD,COP
"11/13/2020 Friday","3,639.42905",USD,COP
"11/16/2020 Monday","3,636.97706",USD,COP
"11/17/2020 Tuesday","3,649.09293",USD,COP
"11/18/2020 Wednesday","3,650.55260",USD,COP
"11/19/2020 Thursday","3,633.06323",USD,COP
"11/20/2020 Friday","3,649.93170",USD,COP
"11/23/2020 Monday","3,652.55654",USD,COP
"11/24/2020 Tuesday","3,639.94114",USD,COP
"11/25/2020 Wednesday","3,625.62205",USD,COP
"11/26/2020 Thursday","3,615.35103",USD,COP
"11/27/2020 Friday","3,606.31751",USD,COP
"11/30/2020 Monday","3,624.42267",USD,COP
"12/1/2020 Tuesday","3,565.61858",USD,COP
"12/2/2020 Wednesday","3,530.55783",USD,COP
"12/3/2020 Thursday","3,520.57705",USD,COP
"12/4/2020 Friday","3,482.42943",USD,COP
"12/7/2020 Monday","3,466.68979",USD,COP
"12/8/2020 Tuesday","3,491.02895",USD,COP
"12/9/2020 Wednesday","3,499.26745",USD,COP
"12/10/2020 Thursday","3,459.99901",USD,COP
"12/11/2020 Friday","3,423.15789",USD,COP
"12/14/2020 Monday","3,440.77788",USD,COP
"12/15/2020 Tuesday","3,430.32537",USD,COP
"12/16/2020 Wednesday","3,418.97719",USD,COP
"12/17/2020 Thursday","3,412.21063",USD,COP
"12/18/2020 Friday","3,414.52866",USD,COP
"12/21/2020 Monday","3,397.32384",USD,COP
"12/22/2020 Tuesday","3,453.52604",USD,COP
"12/23/2020 Wednesday","3,465.35303",USD,COP
"12/24/2020 Thursday","3,502.79009",USD,COP
"12/25/2020 Friday","3,516.88914",USD,COP
"12/28/2020 Monday","3,510.58951",USD,COP
"12/29/2020 Tuesday","3,497.99679",USD,COP
"12/30/2020 Wednesday","3,467.05477",USD,COP
"12/31/2020 Thursday","3,439.19893",USD,COP
"1/1/2021 Friday","3,433.90710",USD,COP
"1/4/2021 Monday","3,434.01032",USD,COP
"1/5/2021 Tuesday","3,445.69319",USD,COP
"1/6/2021 Wednesday","3,446.31806",USD,COP
"1/7/2021 Thursday","3,411.36579",USD,COP
"1/8/2021 Friday","3,498.19997",USD,COP
"1/11/2021 Monday","3,472.92282",USD,COP
"1/12/2021 Tuesday","3,485.27797",USD,COP
"1/13/2021 Wednesday","3,478.62566",USD,COP
"1/14/2021 Thursday","3,476.70811",USD,COP
"1/15/2021 Friday","3,459.74546",USD,COP
"1/18/2021 Monday","3,458.50031",USD,COP
"1/19/2021 Tuesday","3,471.57522",USD,COP
"1/20/2021 Wednesday","3,491.19997",USD,COP
"1/21/2021 Thursday","3,460.48890",USD,COP
"1/22/2021 Friday","3,483.72307",USD,COP
"1/25/2021 Monday","3,531.92120",USD,COP
"1/26/2021 Tuesday","3,580.39003",USD,COP
"1/27/2021 Wednesday","3,617.22694",USD,COP
"1/28/2021 Thursday","3,600.36301",USD,COP
"1/29/2021 Friday","3,557.38488",USD,COP
"2/1/2021 Monday","3,573.15103",USD,COP
"2/2/2021 Tuesday","3,569.67829",USD,COP
"2/3/2021 Wednesday","3,523.87363",USD,COP
"2/4/2021 Thursday","3,542.62264",USD,COP
"2/5/2021 Friday","3,537.68652",USD,COP
